MuncipalityID;Name;CountyID;NumberOfVotes;VotesForKO;VotesForLEW;VotesForTD;VotesForKONF;VotesForPIS;VotesForBS
20101;m. Bolesławiec;20100;11285;4974;943;533;1235;3434;132
20102;gm. Bolesławiec;20100;4146;1391;208;220;644;1620;52
20103;gm. Gromadka;20100;1281;307;53;45;169;686;19
20104;gm. Nowogrodziec;20100;3270;725;130;180;548;1625;45
20105;gm. Osiecznica;20100;1519;525;80;78;237;564;29
20106;gm. Warta Bolesławiecka;20100;2013;550;114;67;343;916;19
20201;m. Bielawa;20200;7939;3150;564;452;847;2818;95
20202;m. Dzierżoniów;20200;9704;4262;628;440;1015;3244;92
20203;gm. Pieszyce;20200;2402;858;135;115;285;963;33
20204;m. Piława Górna;20200;1433;434;83;117;186;592;13
20205;gm. Dzierżoniów;20200;2806;859;106;212;368;1209;45
20206;gm. Łagiewniki;20200;2023;500;88;92;230;1090;16
20207;gm. Niemcza;20200;1369;461;71;58;164;593;22
20301;m. Głogów;20300;18737;6787;2280;843;2044;6544;186
20302;gm. Głogów;20300;2072;677;159;102;296;813;22
20303;gm. Jerzmanowa;20300;1761;577;211;117;237;600;13
20304;gm. Kotla;20300;1076;308;76;37;156;485;10
20305;gm. Pęcław;20300;555;96;30;43;95;282;6
20306;gm. Żukowice;20300;834;196;52;43;144;378;16
20401;gm. Góra;20400;4382;1586;363;217;500;1659;43
20402;gm. Jemielno;20400;630;125;56;25;123;291;10
20403;gm. Niechlów;20400;995;167;61;45;157;546;16
20404;gm. Wąsosz;20400;1668;531;126;80;230;673;19
20501;m. Jawor;20500;6438;2628;374;218;652;2492;60
20502;gm. Bolków;20500;2480;915;139;137;288;957;31
20503;gm. Męcinka;20500;1394;386;68;67;209;643;16
20504;gm. Mściwojów;20500;1036;395;37;42;120;430;8
20505;gm. Paszowice;20500;1156;371;46;60;192;474;10
20506;gm. Wądroże Wielkie;20500;939;269;28;84;149;402;5
20601;m. Karpacz;20600;1879;962;191;116;185;401;21
20602;m. Kowary;20600;2885;1228;370;170;240;807;59
20603;m. Piechowice;20600;1757;761;171;102;188;493;29
20604;m. Szklarska Poręba;20600;2109;979;208;122;204;559;28
20605;gm. Janowice Wielkie;20600;1214;538;115;60;115;362;17
20606;gm. Jeżów Sudecki;20600;2306;1134;173;163;249;553;30
20607;gm. Mysłakowice;20600;2834;1210;207;203;309;846;52
20608;gm. Podgórzyn;20600;2488;1224;209;123;261;626;44
20609;gm. Stara Kamienica;20600;1305;497;91;73;155;463;15
20701;m. Kamienna Góra;20700;4825;2103;454;150;403;1656;45
20702;gm. Kamienna Góra;20700;2489;904;145;107;275;1008;46
20703;gm. Lubawka;20700;2883;1225;209;140;282;984;33
20704;gm. Marciszów;20700;1013;392;73;42;101;387;11
20801;m. Duszniki-Zdrój;20800;1472;655;102;64;136;488;23
20802;m. Kłodzko;20800;7722;3570;462;406;719;2446;98
20803;m. Kudowa-Zdrój;20800;3354;1465;235;146;309;1156;30
20804;m. Nowa Ruda;20800;5235;2482;389;206;482;1616;52
20805;m. Polanica-Zdrój;20800;2396;1157;161;143;177;730;25
20806;gm. Bystrzyca Kłodzka;20800;5084;1994;293;202;522;2030;32
20807;gm. Kłodzko;20800;4190;1232;182;403;500;1819;46
20808;gm. Lądek-Zdrój;20800;2358;934;176;168;202;846;29
20809;gm. Lewin Kłodzki;20800;549;207;35;35;62;204;5
20810;gm. Międzylesie;20800;1795;663;110;96;176;717;24
20811;gm. Nowa Ruda;20800;2809;1063;187;171;335;1014;28
20812;gm. Radków;20800;2178;728;113;106;281;926;19
20813;gm. Stronie Śląskie;20800;1882;801;173;114;192;559;34
20814;gm. Szczytna;20800;1822;764;94;101;219;615;21
20901;m. Chojnów;20900;3417;1286;230;128;405;1324;27
20902;gm. Chojnów;20900;2394;647;102;131;346;1125;32
20903;gm. Krotoszyce;20900;949;287;44;36;136;431;13
20904;gm. Kunice;20900;2510;1037;132;135;372;807;17
20905;gm. Legnickie Pole;20900;1522;449;55;67;249;680;18
20906;gm. Miłkowice;20900;2095;702;130;103;340;786;28
20907;gm. Prochowice;20900;1933;623;91;116;256;817;23
20908;gm. Ruja;20900;543;127;28;23;73;283;8
21001;m. Lubań;21000;5717;2377;555;245;513;1848;169
21002;m. Świeradów-Zdrój;21000;1462;664;118;77;126;456;18
21003;gm. Leśna;21000;2271;761;186;138;302;838;36
21004;gm. Lubań;21000;1538;473;117;124;196;577;42
21005;gm. Olszyna;21000;1519;521;174;77;218;505;19
21006;gm. Platerówka;21000;439;106;34;16;60;212;10
21007;gm. Siekierczyn;21000;1225;382;102;86;134;502;15
21101;m. Lubin;21100;21558;7502;1722;973;2395;8458;455
21102;gm. Lubin;21100;5633;1844;418;313;906;2028;107
21103;gm. Rudna;21100;2271;531;122;123;337;1100;47
21104;gm. Ścinawa;21100;2816;636;165;113;314;1542;44
21201;gm. Gryfów Śląski;21200;2217;802;248;124;242;762;32
21202;gm. Lubomierz;21200;1426;492;86;82;192;542;26
21203;gm. Lwówek Śląski;21200;4316;1654;322;256;516;1484;73
21204;gm. Mirsk;21200;2006;743;134;121;229;739;34
21205;gm. Wleń;21200;1104;377;87;80;120;418;14
21301;gm. Cieszków;21300;1105;243;113;76;184;477;11
21302;gm. Krośnice;21300;1908;480;125;109;293;879;20
21303;gm. Milicz;21300;6199;1997;691;296;712;2425;61
21401;m. Oleśnica;21400;11175;4553;1266;538;1207;3471;115
21402;gm. Bierutów;21400;2581;792;191;128;339;1090;26
21403;gm. Dobroszyce;21400;1933;646;120;116;289;728;31
21404;gm. Dziadowa Kłoda;21400;951;270;63;90;103;414;10
21405;gm. Międzybórz;21400;1093;385;57;66;164;397;19
21406;gm. Oleśnica;21400;4066;1424;269;231;633;1440;51
21407;gm. Syców;21400;4602;1808;405;316;608;1388;69
21408;gm. Twardogóra;21400;3225;1183;209;115;403;1282;27
21501;m. Oława;21500;10529;4485;850;470;1261;3283;153
21502;gm. Domaniów;21500;1495;430;82;62;276;619;20
21503;gm. Jelcz-Laskowice;21500;7237;2650;475;259;1018;2742;76
21504;gm. Oława;21500;4868;1585;291;209;865;1824;77
21601;gm. Chocianów;21600;3518;801;152;130;551;1823;50
21602;gm. Gaworzyce;21600;1119;253;72;48;164;561;15
21603;gm. Grębocice;21600;1349;280;72;68;240;665;17
21604;gm. Polkowice;21600;7012;2090;546;383;940;2951;87
21605;gm. Przemków;21600;2005;433;132;110;289;998;33
21606;gm. Radwanice;21600;1416;353;82;81;223;652;19
21701;gm. Borów;21700;1590;351;111;86;224;796;19
21702;gm. Kondratowice;21700;1119;306;89;22;137;559;4
21703;gm. Przeworno;21700;1282;300;138;36;180;609;14
21704;gm. Strzelin;21700;6910;2240;1086;260;848;2394;70
21705;gm. Wiązów;21700;1904;419;132;66;276;990;19
21801;gm. Kostomłoty;21800;2043;478;104;206;284;950;17
21802;gm. Malczyce;21800;1507;487;90;55;206;641;17
21803;gm. Miękinia;21800;6717;2834;577;341;1066;1798;81
21804;gm. Środa Śląska;21800;5756;2273;321;293;771;2011;67
21805;gm. Udanin;21800;1496;293;56;67;219;842;15
21901;m. Świdnica;21900;17372;7591;2088;661;1719;5082;201
21902;m. Świebodzice;21900;6533;3070;477;208;642;2027;100
21903;gm. Dobromierz;21900;1457;475;63;54;183;654;21
21904;gm. Jaworzyna Śląska;21900;2830;907;177;150;338;1218;29
21905;gm. Marcinowice;21900;2095;570;107;91;298;1001;24
21906;gm. Strzegom;21900;6819;2542;341;212;745;2896;63
21907;gm. Świdnica;21900;5103;1886;379;288;612;1842;77
21908;gm. Żarów;21900;3432;1221;283;136;443;1290;52
22001;gm. Oborniki Śląskie;22000;7519;3208;679;271;952;2304;74
22002;gm. Prusice;22000;2598;721;104;106;499;1134;26
22003;gm. Trzebnica;22000;8243;3245;582;294;1125;2877;91
22004;gm. Wisznia Mała;22000;4253;1719;309;215;534;1419;44
22005;gm. Zawonia;22000;1636;588;103;62;255;599;22
22006;gm. Żmigród;22000;3773;1259;285;224;505;1429;58
22101;m. Boguszów-Gorce;22100;3239;1527;211;133;304;1002;34
22102;m. Jedlina-Zdrój;22100;1329;673;102;33;143;364;13
22103;m. Szczawno-Zdrój;22100;2204;1260;185;48;161;536;9
22104;gm. Czarny Bór;22100;1352;484;72;54;164;555;19
22105;gm. Głuszyca;22100;2170;1100;124;71;209;647;14
22106;gm. Mieroszów;22100;1678;812;99;51;159;530;23
22107;gm. Stare Bogaczowice;22100;1321;608;102;44;115;428;15
22108;gm. Walim;22100;1477;672;91;65;160;464;21
22201;gm. Brzeg Dolny;22200;4792;1922;471;183;568;1572;69
22202;gm. Wińsko;22200;2122;413;126;82;299;1155;37
22203;gm. Wołów;22200;6699;2398;532;268;873;2540;79
22301;gm. Czernica;22300;8055;3805;746;376;1172;1814;125
22302;gm. Długołęka;22300;14242;6300;1294;826;1953;3668;172
22303;gm. Jordanów Śląski;22300;1026;293;52;44;203;409;19
22304;gm. Kąty Wrocławskie;22300;9465;4141;840;439;1313;2573;137
22305;gm. Kobierzyce;22300;8249;4090;713;467;1033;1837;96
22306;gm. Mietków;22300;1172;391;73;82;156;448;19
22307;gm. Sobótka;22300;4036;1443;273;161;605;1486;56
22308;gm. Siechnice;22300;9742;4451;841;564;1476;2261;124
